% 150 routers. went from 9352 random to 9933.
>> 9352/cover

ans =

    0.6483

>> 9933/cover

ans =

    0.6886

>> [x,fval,exitflag,output,population,scores] = ...
    ga(objfun, nvars,[],[],[],[],LB,UB,[], IntCon, options);

                                  Best          Mean         Stall
Generation      Func-count     Penalty         Penalty    Generations
  180             3620           -9929           -9815       29
  181             3640           -9929           -9826       30
  182             3660           -9929           -9807       31
  183             3680           -9929           -9849       32
  184             3700           -9929           -9905       33
  185             3720           -9929           -9920       34
  186             3740           -9929           -9870       35
  187             3760           -9929           -9533       36
  188             3780           -9929           -9869       37
  189             3800           -9929           -9919       38
  190             3820           -9929           -9499       39
  191             3840           -9929           -9738       40
  192             3860           -9929           -9877       41
  193             3880           -9929           -9564       42
  194             3900           -9930           -9904        0
  195             3920           -9933           -9881        0
  196             3940           -9933           -9853        1
  197             3960           -9933           -9513        2
  198             3980           -9933           -9883        3
  199             4000           -9933           -9929        4
  200             4020           -9933           -9238        5
  201             4040           -9933           -9776        6
  202             4060           -9933           -9897        7
  203             4080           -9933           -9901        8
  204             4100           -9933           -9930        9
  205             4120           -9933           -9931       10
  206             4140           -9933           -9931       11
  207             4160           -9933           -9929       12
  208             4180           -9933           -9430       13
  209             4200           -9933           -9837       14

                                  Best          Mean         Stall
Generation      Func-count     Penalty         Penalty    Generations
  210             4220           -9933           -9633       15
  211             4240           -9933           -9765       16
  212             4260           -9933           -9780       17
  213             4280           -9933           -9531       18
  214             4300           -9933           -9782       19
  215             4320           -9933           -9842       20
  216             4340           -9933           -9902       21
  217             4360           -9933           -9793       22
  218             4380           -9933           -9930       23
  219             4400           -9933           -9931       24
  220             4420           -9933           -9556       25
  221             4440           -9933           -9873       26
  222             4460           -9933           -9925       27
  223             4480           -9933           -9931       28
  224             4500           -9933           -9925       29
  225             4520           -9933           -9699       30
  226             4540           -9933           -9894       31
  227             4560           -9933           -9720       32
  228             4580           -9933           -9481       33
  229             4600           -9933           -9909       34
  230             4620           -9933           -9558       35
  231             4640           -9933           -9803       36
  232             4660           -9933           -9822       37
  233             4680           -9933           -9928       38
  234             4700           -9933           -9795       39
  235             4720           -9933           -9924       40
  236             4740           -9933           -9174       41
  237             4760           -9933           -9928       42
  238             4780           -9933           -9786       43
  239             4800           -9933           -9905       44

                                  Best          Mean         Stall
Generation      Func-count     Penalty         Penalty    Generations
  240             4820           -9933           -9895       45
  241             4840           -9933           -9788       46
  242             4860           -9933           -9743       47
  243             4880           -9933           -9898       48
  244             4900           -9933           -9827       49
  245             4920           -9933           -9860       50
Optimization terminated: average change in the penalty fitness value less than options.FunctionTolerance
and constraint violation is less than options.ConstraintTolerance.
Exception in thread "AWT-EventQueue-0" java.lang.ArrayIndexOutOfBoundsException: 1
	at sun.awt.Win32GraphicsEnvironment.getDefaultScreenDevice(Unknown Source)
	at com.mathworks.mwswing.SystemGraphicsEnvironment.getDefaultScreenDevice(SystemGraphicsEnvironment.java:28)
	at com.mathworks.mwswing.WindowUtils.getScreenBounds(WindowUtils.java:543)
	at com.mathworks.mwswing.WindowUtils.getVirtualScreenBounds(WindowUtils.java:580)
	at com.mathworks.widgets.desk.DTFrame$LocationTracker.componentResized(DTFrame.java:1416)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.AWTEventMulticaster.componentResized(Unknown Source)
	at java.awt.Component.processComponentEvent(Unknown Source)
	at java.awt.Component.processEvent(Unknown Source)
	at java.awt.Container.processEvent(Unknown Source)
	at java.awt.Window.processEvent(Unknown Source)
	at com.mathworks.mwswing.MJFrame.processEvent(MJFrame.java:872)
	at java.awt.Component.dispatchEventImpl(Unknown Source)
	at java.awt.Container.dispatchEventImpl(Unknown Source)
	at java.awt.Window.dispatchEventImpl(Unknown Source)
	at java.awt.Component.dispatchEvent(Unknown Source)
	at java.awt.EventQueue.dispatchEventImpl(Unknown Source)
	at java.awt.EventQueue.access$200(Unknown Source)
	at java.awt.EventQueue$3.run(Unknown Source)
	at java.awt.EventQueue$3.run(Unknown Source)
	at java.security.AccessController.doPrivileged(Native Method)
	at java.security.ProtectionDomain$1.doIntersectionPrivilege(Unknown Source)
	at java.security.ProtectionDomain$1.doIntersectionPrivilege(Unknown Source)
	at java.awt.EventQueue$4.run(Unknown Source)
	at java.awt.EventQueue$4.run(Unknown Source)
	at java.security.AccessController.doPrivileged(Native Method)
	at java.security.ProtectionDomain$1.doIntersectionPrivilege(Unknown Source)
	at java.awt.EventQueue.dispatchEvent(Unknown Source)
	at java.awt.EventDispatchThread.pumpOneEventForFilters(Unknown Source)
	at java.awt.EventDispatchThread.pumpEventsForFilter(Unknown Source)
	at java.awt.EventDispatchThread.pumpEventsForHierarchy(Unknown Source)
	at java.awt.EventDispatchThread.pumpEvents(Unknown Source)
	at java.awt.EventDispatchThread.pumpEvents(Unknown Source)
	at java.awt.EventDispatchThread.run(Unknown Source)
>> 
